门店编号,下单时间,商品类别,商品名称,数量,小计金额,支付方式,就餐方式
8,2023/11/19 8:46,粥,银耳羹,3,9,微信支付,外卖配送
7,2023/10/8 9:00,饮品,豆浆,2,5,支付宝支付,打包带走
12,2023/10/24 8:53,粗粮&小食,红糖馒头,3,4.5,微信支付,打包带走
12,2023/10/24 8:53,粗粮&小食,粗粮馒头,3,6,微信支付,打包带走
12,2023/10/24 8:53,鲜包,荠菜肉包,3,6,微信支付,打包带走
2,2023/11/25 8:14,饮品,红枣豆浆,1,3,支付宝支付,外卖配送
13,2023/10/13 8:46,烧卖,咸蛋黄烧卖,3,7.5,云闪付,打包带走
13,2023/10/13 8:46,鲜包,荠菜肉包,3,6,云闪付,打包带走
13,2023/10/13 8:46,烧卖,糯米烧卖,3,4.5,云闪付,打包带走
9,2023/10/8 8:11,鲜包,鲜汁肉包,3,7.5,支付宝支付,外卖配送
8,2023/11/27 9:46,粗粮&小食,葱油饼,1,2.5,云闪付,外卖配送
8,2023/11/27 9:46,烧卖,鲜肉烧卖,1,2,云闪付,外卖配送
14,2023/11/8 8:08,饮品,红枣豆浆,1,3,支付宝支付,外卖配送
15,2023/10/7 10:54,粥,小米粥,1,3,微信支付,外卖配送
15,2023/10/7 10:54,鲜包,奥尔良鸡肉包,2,4,微信支付,外卖配送
11,2023/11/18 9:12,粥,黑米粥,2,6,云闪付,外卖配送
9,2023/11/16 9:13,粥,南瓜粥,1,3,云闪付,外卖配送
9,2023/11/16 9:13,粗粮&小食,葱油饼,1,2.5,云闪付,外卖配送
11,2023/10/10 8:58,烧卖,糯米烧卖,3,4.5,支付宝支付,外卖配送
1,2023/11/13 8:24,粥,小米粥,2,6,云闪付,外卖配送
1,2023/11/13 8:24,烧卖,咸蛋黄烧卖,1,2.5,云闪付,外卖配送
4,2023/10/3 6:34,鲜包,酸豆角包,1,2,支付宝支付,打包带走
8,2023/11/14 6:36,粗粮&小食,葱油饼,3,7.5,云闪付,外卖配送
8,2023/11/14 6:36,烧卖,糯米烧卖,3,4.5,云闪付,外卖配送
8,2023/11/14 6:36,饮品,无糖豆浆,3,9,云闪付,外卖配送
9,2023/10/22 11:38,饮品,无糖豆浆,3,9,云闪付,打包带走
1,2023/11/23 6:15,烧卖,鲜肉烧卖,1,2,微信支付,打包带走
7,2023/11/29 10:31,饮品,无糖豆浆,1,3,支付宝支付,外卖配送
7,2023/11/29 10:31,饮品,红枣豆浆,1,3,支付宝支付,外卖配送
2,2023/10/2 9:17,饮品,无糖豆浆,3,9,云闪付,外卖配送
2,2023/10/2 9:17,鲜包,香辣粉丝包,3,6,云闪付,外卖配送
2,2023/10/2 9:17,鲜包,酸豆角包,3,6,云闪付,外卖配送
2,2023/10/2 7:37,烧卖,糯米烧卖,3,4.5,支付宝支付,打包带走
2,2023/10/2 7:37,鲜包,奶黄包,3,6,支付宝支付,打包带走
4,2023/10/5 6:18,饮品,豆浆,2,5,微信支付,外卖配送
4,2023/10/5 6:18,粥,玉米汁,3,9,微信支付,外卖配送
12,2023/11/11 11:35,饮品,红枣豆浆,2,6,云闪付,打包带走
4,2023/11/19 6:30,粥,银耳羹,3,9,云闪付,打包带走
8,2023/10/18 7:50,粗粮&小食,茶叶蛋,2,4,微信支付,打包带走
5,2023/11/24 6:13,粥,玉米汁,1,3,微信支付,打包带走
5,2023/11/23 11:11,粥,黑米粥,3,9,云闪付,外卖配送
5,2023/11/23 11:11,饮品,红枣豆浆,3,9,云闪付,外卖配送
5,2023/11/23 11:11,烧卖,鲜肉烧卖,2,4,云闪付,外卖配送
9,2023/10/25 7:49,饮品,红枣豆浆,3,9,微信支付,打包带走
9,2023/10/21 11:24,饮品,豆浆,3,7.5,支付宝支付,打包带走
9,2023/10/21 11:24,粥,玉米汁,1,3,支付宝支付,打包带走
9,2023/10/21 11:24,鲜包,荠菜素包,1,1.5,支付宝支付,打包带走
5,2023/10/16 11:46,饮品,无糖豆浆,1,3,云闪付,外卖配送
5,2023/10/16 11:46,鲜包,豆沙包,1,2,云闪付,外卖配送
5,2023/10/16 11:46,烧卖,鲜肉烧卖,1,2,云闪付,外卖配送
6,2023/10/19 10:54,烧卖,糯米烧卖,2,3,微信支付,打包带走
6,2023/10/19 10:54,鲜包,香菇菜包,3,6,微信支付,打包带走
6,2023/10/19 10:54,粗粮&小食,茶叶蛋,1,2,微信支付,打包带走
3,2023/10/16 11:39,烧卖,鲜肉烧卖,3,6,微信支付,打包带走
10,2023/11/13 10:02,烧卖,鲜肉烧卖,2,4,微信支付,外卖配送
10,2023/11/25 10:53,饮品,红枣豆浆,2,6,云闪付,外卖配送
10,2023/11/25 10:53,烧卖,鲜肉烧卖,2,4,云闪付,外卖配送
10,2023/11/25 10:53,烧卖,糯米烧卖,3,4.5,云闪付,外卖配送
5,2023/10/29 7:51,饮品,豆浆,2,5,云闪付,打包带走
5,2023/10/29 7:51,鲜包,奥尔良鸡肉包,2,4,云闪付,打包带走
2,2023/11/11 9:02,鲜包,鲜汁肉包,2,5,云闪付,外卖配送
4,2023/10/4 10:31,烧卖,鲜肉烧卖,3,6,支付宝支付,打包带走
1,2023/10/25 8:34,鲜包,香菇菜包,3,6,微信支付,打包带走
1,2023/10/25 8:34,饮品,无糖豆浆,2,6,微信支付,打包带走
1,2023/10/25 8:34,烧卖,糯米烧卖,3,4.5,微信支付,打包带走
12,2023/11/22 11:27,烧卖,咸蛋黄烧卖,3,7.5,微信支付,打包带走
13,2023/11/20 9:09,鲜包,豆沙包,1,2,云闪付,打包带走
13,2023/11/20 9:09,饮品,红枣豆浆,2,6,云闪付,打包带走
13,2023/11/20 9:09,饮品,无糖豆浆,1,3,云闪付,打包带走
1,2023/11/25 10:26,粥,南瓜粥,3,9,云闪付,外卖配送
1,2023/11/25 10:26,粗粮&小食,茶叶蛋,3,6,云闪付,外卖配送
1,2023/11/25 10:26,鲜包,酸豆角包,2,4,云闪付,外卖配送
15,2023/11/2 6:33,粗粮&小食,茶叶蛋,3,6,微信支付,打包带走
15,2023/11/2 6:33,饮品,无糖豆浆,1,3,微信支付,打包带走
1,2023/10/12 6:10,粥,小米粥,3,9,微信支付,外卖配送
1,2023/10/12 6:10,鲜包,梅干菜肉包,2,4,微信支付,外卖配送
1,2023/11/3 6:20,粗粮&小食,葱油饼,1,2.5,支付宝支付,打包带走
1,2023/11/3 6:20,烧卖,糯米烧卖,3,4.5,支付宝支付,打包带走
1,2023/11/3 6:20,粥,玉米汁,3,9,支付宝支付,打包带走
14,2023/11/27 8:43,饮品,无糖豆浆,3,9,支付宝支付,打包带走
2,2023/10/10 9:51,烧卖,鲜肉烧卖,2,4,支付宝支付,打包带走
2,2023/10/10 9:51,粗粮&小食,红糖馒头,1,1.5,支付宝支付,打包带走
1,2023/10/28 8:29,饮品,红枣豆浆,2,6,支付宝支付,打包带走
10,2023/11/15 6:27,鲜包,奶黄包,1,2,支付宝支付,外卖配送
10,2023/11/15 6:27,鲜包,奶黄包,3,6,支付宝支付,外卖配送
15,2023/10/4 11:28,烧卖,糯米烧卖,1,1.5,支付宝支付,外卖配送
11,2023/10/25 10:02,烧卖,咸蛋黄烧卖,3,7.5,微信支付,外卖配送
8,2023/10/14 6:11,粗粮&小食,茶叶蛋,2,4,微信支付,打包带走
8,2023/11/5 7:02,粗粮&小食,粗粮馒头,3,6,微信支付,外卖配送
8,2023/11/5 7:02,粥,南瓜粥,2,6,微信支付,外卖配送
9,2023/10/13 7:00,饮品,无糖豆浆,3,9,微信支付,外卖配送
9,2023/10/13 7:00,烧卖,咸蛋黄烧卖,3,7.5,微信支付,外卖配送
9,2023/10/13 7:00,粗粮&小食,茶叶蛋,3,6,微信支付,外卖配送
3,2023/10/20 10:36,粗粮&小食,粗粮馒头,3,6,云闪付,外卖配送
13,2023/11/24 9:39,烧卖,鲜肉烧卖,1,2,微信支付,外卖配送
13,2023/11/24 9:39,饮品,红枣豆浆,1,3,微信支付,外卖配送
3,2023/10/5 9:33,饮品,豆浆,1,2.5,支付宝支付,打包带走
15,2023/11/23 10:21,烧卖,糯米烧卖,3,4.5,微信支付,打包带走
15,2023/11/23 10:21,烧卖,鲜肉烧卖,2,4,微信支付,打包带走
15,2023/11/23 10:21,粥,黑米粥,1,3,微信支付,打包带走
15,2023/11/20 10:07,粗粮&小食,葱油饼,2,5,云闪付,外卖配送
15,2023/11/20 10:07,粗粮&小食,水煮蛋,2,3,云闪付,外卖配送
15,2023/11/20 10:07,饮品,豆浆,2,5,云闪付,外卖配送
11,2023/10/17 10:08,粥,南瓜粥,1,3,微信支付,打包带走
3,2023/11/18 7:56,粗粮&小食,茶叶蛋,3,6,微信支付,外卖配送
3,2023/11/5 7:57,烧卖,鲜肉烧卖,2,4,支付宝支付,打包带走
6,2023/10/21 8:47,烧卖,糯米烧卖,1,1.5,云闪付,外卖配送
6,2023/10/21 8:47,鲜包,酸豆角包,1,2,云闪付,外卖配送
6,2023/10/21 8:47,粗粮&小食,茶叶蛋,2,4,云闪付,外卖配送
13,2023/11/27 6:14,粗粮&小食,葱油饼,2,5,微信支付,打包带走
9,2023/10/29 11:37,鲜包,荠菜素包,3,4.5,微信支付,外卖配送
1,2023/11/14 6:59,饮品,无糖豆浆,2,6,微信支付,打包带走
1,2023/11/14 6:59,粗粮&小食,茶叶蛋,2,4,微信支付,打包带走
1,2023/11/14 6:59,粥,黑米粥,2,6,微信支付,打包带走
11,2023/11/18 7:56,粥,南瓜粥,3,9,云闪付,打包带走
11,2023/11/18 7:56,烧卖,咸蛋黄烧卖,3,7.5,云闪付,打包带走
2,2023/10/4 10:00,粗粮&小食,茶叶蛋,3,6,云闪付,打包带走
4,2023/11/6 9:41,粗粮&小食,粗粮馒头,3,6,支付宝支付,外卖配送
4,2023/11/6 9:41,粥,银耳羹,2,6,支付宝支付,外卖配送
1,2023/10/17 11:56,鲜包,梅干菜肉包,1,2,微信支付,打包带走
10,2023/11/20 10:02,粥,黑米粥,3,9,云闪付,打包带走
9,2023/10/30 11:08,粗粮&小食,葱油饼,3,7.5,云闪付,打包带走
9,2023/10/30 11:08,粥,南瓜粥,3,9,云闪付,打包带走
1,2023/11/25 9:22,鲜包,鲜汁肉包,1,2.5,微信支付,打包带走
1,2023/11/25 9:22,粥,黑米粥,2,6,微信支付,打包带走
1,2023/11/25 9:22,鲜包,香菇菜包,3,6,微信支付,打包带走
2,2023/11/10 7:22,饮品,红枣豆浆,2,6,云闪付,打包带走
2,2023/11/10 7:22,粗粮&小食,水煮蛋,1,1.5,云闪付,打包带走
2,2023/11/10 7:22,粥,黑米粥,1,3,云闪付,打包带走
10,2023/10/22 9:08,粗粮&小食,水煮蛋,2,3,微信支付,打包带走
10,2023/10/22 9:08,粗粮&小食,葱油饼,3,7.5,微信支付,打包带走
14,2023/11/8 6:18,烧卖,鲜肉烧卖,2,4,云闪付,打包带走
15,2023/10/31 8:26,烧卖,咸蛋黄烧卖,2,5,微信支付,外卖配送
15,2023/10/31 8:26,粥,南瓜粥,3,9,微信支付,外卖配送
15,2023/10/31 8:26,粗粮&小食,茶叶蛋,1,2,微信支付,外卖配送
6,2023/11/2 7:21,粗粮&小食,葱油饼,3,7.5,微信支付,外卖配送
6,2023/11/2 7:21,鲜包,豆沙包,3,6,微信支付,外卖配送
6,2023/11/2 7:21,烧卖,咸蛋黄烧卖,3,7.5,微信支付,外卖配送
7,2023/11/5 8:15,烧卖,糯米烧卖,2,3,云闪付,外卖配送
7,2023/11/5 8:15,鲜包,梅干菜肉包,2,4,云闪付,外卖配送
7,2023/11/5 8:15,烧卖,鲜肉烧卖,1,2,云闪付,外卖配送
3,2023/11/14 7:26,鲜包,豆沙包,1,2,微信支付,打包带走
3,2023/11/14 7:26,粗粮&小食,红糖馒头,3,4.5,微信支付,打包带走
3,2023/11/14 7:26,饮品,无糖豆浆,1,3,微信支付,打包带走
4,2023/11/29 6:25,饮品,红枣豆浆,3,9,微信支付,打包带走
4,2023/11/29 6:25,粥,银耳羹,1,3,微信支付,打包带走
4,2023/11/29 6:25,饮品,豆浆,2,5,微信支付,打包带走
2,2023/11/25 10:00,粥,南瓜粥,3,9,云闪付,外卖配送
11,2023/10/4 10:09,粥,南瓜粥,1,3,微信支付,外卖配送
11,2023/10/4 10:09,鲜包,豆沙包,3,6,微信支付,外卖配送
11,2023/10/4 10:09,烧卖,糯米烧卖,2,3,微信支付,外卖配送
14,2023/10/18 6:02,粥,黑米粥,1,3,支付宝支付,外卖配送
14,2023/10/18 6:02,饮品,豆浆,2,5,支付宝支付,外卖配送
5,2023/10/6 7:36,粗粮&小食,粗粮馒头,1,2,支付宝支付,打包带走
5,2023/10/6 7:36,烧卖,糯米烧卖,1,1.5,支付宝支付,打包带走
6,2023/11/22 7:33,鲜包,酸豆角包,2,4,支付宝支付,打包带走
6,2023/11/22 7:33,烧卖,鲜肉烧卖,1,2,支付宝支付,打包带走
6,2023/11/22 7:33,饮品,无糖豆浆,1,3,支付宝支付,打包带走
12,2023/11/12 8:59,烧卖,鲜肉烧卖,2,4,支付宝支付,外卖配送
12,2023/11/4 11:34,烧卖,鲜肉烧卖,2,4,微信支付,打包带走
12,2023/11/4 11:34,粥,黑米粥,1,3,微信支付,打包带走
9,2023/10/24 11:47,鲜包,奥尔良鸡肉包,1,2,微信支付,外卖配送
9,2023/10/24 11:47,粗粮&小食,水煮蛋,2,3,微信支付,外卖配送
9,2023/10/24 11:47,粗粮&小食,水煮蛋,1,1.5,微信支付,外卖配送
2,2023/10/5 6:37,烧卖,咸蛋黄烧卖,2,5,微信支付,打包带走
15,2023/10/24 10:23,饮品,红枣豆浆,1,3,微信支付,外卖配送
15,2023/10/24 10:23,烧卖,咸蛋黄烧卖,3,7.5,微信支付,外卖配送
15,2023/10/24 10:23,烧卖,咸蛋黄烧卖,2,5,微信支付,外卖配送
2,2023/11/6 10:03,鲜包,香辣粉丝包,3,6,微信支付,打包带走
11,2023/10/19 9:31,烧卖,咸蛋黄烧卖,2,5,云闪付,打包带走
11,2023/10/19 9:31,鲜包,奶黄包,3,6,云闪付,打包带走
3,2023/10/17 8:57,烧卖,咸蛋黄烧卖,2,5,支付宝支付,打包带走
5,2023/11/3 8:51,鲜包,香辣粉丝包,3,6,微信支付,外卖配送
5,2023/11/3 8:51,烧卖,糯米烧卖,2,3,微信支付,外卖配送
7,2023/10/9 8:52,烧卖,糯米烧卖,1,1.5,云闪付,外卖配送
8,2023/10/30 11:33,粥,银耳羹,2,6,云闪付,打包带走
8,2023/10/30 11:33,粥,银耳羹,1,3,云闪付,打包带走
8,2023/10/30 11:33,烧卖,糯米烧卖,2,3,云闪付,打包带走
6,2023/10/10 11:10,粥,玉米汁,3,9,微信支付,打包带走
6,2023/10/10 11:10,饮品,无糖豆浆,3,9,微信支付,打包带走
6,2023/11/25 7:30,粥,玉米汁,2,6,云闪付,打包带走
6,2023/11/25 7:30,粗粮&小食,葱油饼,1,2.5,云闪付,打包带走
6,2023/11/25 7:30,烧卖,咸蛋黄烧卖,2,5,云闪付,打包带走
8,2023/10/21 11:27,粥,玉米汁,2,6,支付宝支付,外卖配送
15,2023/10/28 9:43,粗粮&小食,水煮蛋,2,3,云闪付,打包带走
15,2023/10/28 9:43,粥,黑米粥,3,9,云闪付,打包带走
13,2023/11/13 10:10,粥,小米粥,2,6,支付宝支付,打包带走
10,2023/10/29 11:00,饮品,无糖豆浆,1,3,微信支付,外卖配送
10,2023/10/29 11:00,鲜包,酸豆角包,1,2,微信支付,外卖配送
10,2023/10/29 11:00,饮品,红枣豆浆,1,3,微信支付,外卖配送
5,2023/10/29 9:13,粗粮&小食,红糖馒头,3,4.5,微信支付,打包带走
1,2023/11/24 10:41,烧卖,鲜肉烧卖,3,6,云闪付,外卖配送
1,2023/11/24 10:41,烧卖,糯米烧卖,2,3,云闪付,外卖配送
4,2023/11/3 6:37,粥,南瓜粥,2,6,云闪付,打包带走
4,2023/11/3 6:37,粗粮&小食,水煮蛋,3,4.5,云闪付,打包带走
4,2023/11/3 6:37,烧卖,鲜肉烧卖,2,4,云闪付,打包带走
10,2023/11/18 10:27,饮品,豆浆,2,5,支付宝支付,外卖配送
12,2023/10/15 8:52,鲜包,奶黄包,3,6,微信支付,打包带走
12,2023/10/15 8:52,鲜包,奶黄包,2,4,微信支付,打包带走
12,2023/10/15 8:52,烧卖,糯米烧卖,2,3,微信支付,打包带走
2,2023/11/7 11:39,鲜包,梅干菜肉包,3,6,微信支付,打包带走
2,2023/11/7 11:39,鲜包,奥尔良鸡肉包,2,4,微信支付,打包带走
2,2023/11/7 11:39,粥,银耳羹,2,6,微信支付,打包带走
8,2023/11/11 8:27,饮品,豆浆,2,5,微信支付,外卖配送
8,2023/11/11 8:27,粗粮&小食,红糖馒头,1,1.5,微信支付,外卖配送
5,2023/11/24 8:15,粗粮&小食,粗粮馒头,3,6,支付宝支付,打包带走
5,2023/11/24 8:15,粗粮&小食,茶叶蛋,2,4,支付宝支付,打包带走
15,2023/10/28 11:04,饮品,豆浆,2,5,微信支付,打包带走
15,2023/10/28 11:04,烧卖,糯米烧卖,1,1.5,微信支付,打包带走
9,2023/11/14 11:38,粗粮&小食,葱油饼,2,5,微信支付,外卖配送
5,2023/10/14 9:51,鲜包,荠菜肉包,1,2,微信支付,打包带走
12,2023/11/5 6:27,鲜包,豆沙包,3,6,微信支付,外卖配送
2,2023/11/1 10:19,粗粮&小食,粗粮馒头,1,2,支付宝支付,打包带走
2,2023/11/1 10:19,粗粮&小食,茶叶蛋,1,2,支付宝支付,打包带走
13,2023/11/19 8:07,烧卖,糯米烧卖,2,3,支付宝支付,打包带走
13,2023/11/19 8:07,鲜包,梅干菜肉包,3,6,支付宝支付,打包带走
13,2023/11/19 8:07,粗粮&小食,水煮蛋,1,1.5,支付宝支付,打包带走
13,2023/11/21 10:48,饮品,豆浆,3,7.5,支付宝支付,打包带走
13,2023/11/21 10:48,粥,南瓜粥,1,3,支付宝支付,打包带走
13,2023/11/21 10:48,粥,银耳羹,1,3,支付宝支付,打包带走
9,2023/10/2 10:35,鲜包,豆沙包,1,2,微信支付,外卖配送
1,2023/10/25 11:04,饮品,无糖豆浆,1,3,云闪付,外卖配送
8,2023/11/10 10:08,鲜包,荠菜素包,3,4.5,支付宝支付,外卖配送
8,2023/11/10 10:08,烧卖,糯米烧卖,1,1.5,支付宝支付,外卖配送
10,2023/10/28 11:40,粗粮&小食,水煮蛋,1,1.5,支付宝支付,外卖配送
10,2023/10/28 11:40,鲜包,梅干菜肉包,1,2,支付宝支付,外卖配送
11,2023/10/24 6:52,烧卖,鲜肉烧卖,1,2,微信支付,外卖配送
9,2023/10/24 6:53,粗粮&小食,茶叶蛋,1,2,云闪付,外卖配送
9,2023/10/24 6:53,饮品,红枣豆浆,2,6,云闪付,外卖配送
12,2023/11/10 8:04,粥,玉米汁,1,3,云闪付,外卖配送
12,2023/11/10 8:04,烧卖,咸蛋黄烧卖,2,5,云闪付,外卖配送
12,2023/11/10 8:04,鲜包,荠菜肉包,3,6,云闪付,外卖配送
6,2023/10/28 10:18,粗粮&小食,水煮蛋,1,1.5,微信支付,打包带走
4,2023/11/8 7:19,粥,玉米汁,2,6,微信支付,打包带走
4,2023/11/8 7:19,粗粮&小食,茶叶蛋,3,6,微信支付,打包带走
4,2023/11/8 7:19,粥,南瓜粥,2,6,微信支付,打包带走
7,2023/10/23 6:09,粥,银耳羹,2,6,支付宝支付,打包带走
7,2023/10/23 6:09,粗粮&小食,水煮蛋,3,4.5,支付宝支付,打包带走
7,2023/10/23 6:09,烧卖,糯米烧卖,1,1.5,支付宝支付,打包带走
4,2023/10/4 11:46,烧卖,咸蛋黄烧卖,1,2.5,云闪付,外卖配送
4,2023/10/4 11:46,粥,南瓜粥,1,3,云闪付,外卖配送
4,2023/10/4 11:46,烧卖,糯米烧卖,3,4.5,云闪付,外卖配送
10,2023/11/6 11:48,粥,小米粥,2,6,云闪付,外卖配送
10,2023/11/6 11:48,粗粮&小食,红糖馒头,2,3,云闪付,外卖配送
10,2023/11/6 11:48,烧卖,糯米烧卖,2,3,云闪付,外卖配送
5,2023/11/16 6:42,粗粮&小食,水煮蛋,2,3,微信支付,外卖配送
5,2023/11/16 6:42,饮品,红枣豆浆,2,6,微信支付,外卖配送
2,2023/11/22 6:51,饮品,豆浆,2,5,微信支付,外卖配送
2,2023/11/22 6:51,饮品,红枣豆浆,3,9,微信支付,外卖配送
6,2023/10/12 9:48,烧卖,咸蛋黄烧卖,3,7.5,微信支付,外卖配送
6,2023/10/12 9:48,粗粮&小食,葱油饼,2,5,微信支付,外卖配送
6,2023/10/12 9:48,鲜包,香菇菜包,2,4,微信支付,外卖配送
13,2023/10/9 11:04,粗粮&小食,茶叶蛋,2,4,微信支付,打包带走
15,2023/10/30 7:17,烧卖,鲜肉烧卖,1,2,支付宝支付,外卖配送
15,2023/10/30 7:17,饮品,红枣豆浆,2,6,支付宝支付,外卖配送
15,2023/10/30 7:17,烧卖,咸蛋黄烧卖,2,5,支付宝支付,外卖配送
9,2023/11/17 6:36,烧卖,鲜肉烧卖,1,2,微信支付,打包带走
9,2023/11/17 6:36,烧卖,鲜肉烧卖,1,2,微信支付,打包带走
9,2023/11/18 9:47,粗粮&小食,葱油饼,1,2.5,支付宝支付,外卖配送
9,2023/11/18 9:47,烧卖,咸蛋黄烧卖,3,7.5,支付宝支付,外卖配送
9,2023/11/18 9:47,烧卖,咸蛋黄烧卖,3,7.5,支付宝支付,外卖配送
1,2023/11/3 8:24,粗粮&小食,红糖馒头,2,3,云闪付,打包带走
1,2023/11/3 8:24,饮品,无糖豆浆,2,6,云闪付,打包带走
10,2023/10/13 9:01,鲜包,香菇菜包,1,2,支付宝支付,外卖配送
10,2023/10/13 9:01,鲜包,香辣粉丝包,3,6,支付宝支付,外卖配送
9,2023/11/2 11:55,鲜包,酸豆角包,1,2,支付宝支付,打包带走
9,2023/11/2 11:55,粗粮&小食,葱油饼,1,2.5,支付宝支付,打包带走
7,2023/11/24 9:37,饮品,豆浆,1,2.5,支付宝支付,外卖配送
7,2023/11/24 9:37,粗粮&小食,茶叶蛋,3,6,支付宝支付,外卖配送
10,2023/10/3 9:05,鲜包,豆沙包,2,4,云闪付,外卖配送
10,2023/10/3 9:05,饮品,豆浆,1,2.5,云闪付,外卖配送
10,2023/11/22 6:54,鲜包,酸豆角包,3,6,微信支付,外卖配送
8,2023/11/19 9:17,鲜包,酸豆角包,2,4,云闪付,外卖配送
8,2023/11/19 9:17,饮品,豆浆,1,2.5,云闪付,外卖配送
14,2023/11/29 8:21,鲜包,香辣粉丝包,2,4,支付宝支付,打包带走
14,2023/11/29 8:21,烧卖,鲜肉烧卖,2,4,支付宝支付,打包带走
10,2023/11/4 6:05,鲜包,鲜汁肉包,1,2.5,微信支付,打包带走
10,2023/11/4 6:05,粥,黑米粥,3,9,微信支付,打包带走
9,2023/11/4 10:44,粗粮&小食,水煮蛋,2,3,支付宝支付,外卖配送
5,2023/11/3 9:18,饮品,无糖豆浆,1,3,云闪付,打包带走
4,2023/10/16 7:14,饮品,无糖豆浆,1,3,云闪付,打包带走
3,2023/11/1 10:28,鲜包,香菇菜包,2,4,支付宝支付,外卖配送
3,2023/11/1 10:28,饮品,无糖豆浆,2,6,支付宝支付,外卖配送
3,2023/11/1 10:28,粥,银耳羹,3,9,支付宝支付,外卖配送
9,2023/10/20 11:28,粗粮&小食,红糖馒头,1,1.5,支付宝支付,外卖配送
9,2023/10/20 11:28,粗粮&小食,水煮蛋,3,4.5,支付宝支付,外卖配送
9,2023/10/20 11:28,饮品,无糖豆浆,3,9,支付宝支付,外卖配送
9,2023/10/28 9:58,粗粮&小食,葱油饼,2,5,微信支付,外卖配送
9,2023/10/28 9:58,鲜包,鲜汁肉包,3,7.5,微信支付,外卖配送
9,2023/10/28 9:58,粗粮&小食,水煮蛋,1,1.5,微信支付,外卖配送
13,2023/10/9 8:57,烧卖,糯米烧卖,2,3,微信支付,外卖配送
11,2023/10/9 7:07,粥,玉米汁,3,9,云闪付,外卖配送
15,2023/11/25 6:16,饮品,豆浆,1,2.5,支付宝支付,打包带走
15,2023/11/24 11:22,粗粮&小食,葱油饼,2,5,支付宝支付,打包带走
15,2023/11/24 11:22,鲜包,酸豆角包,1,2,支付宝支付,打包带走
15,2023/11/24 11:22,粥,南瓜粥,1,3,支付宝支付,打包带走
1,2023/11/28 7:46,烧卖,咸蛋黄烧卖,1,2.5,微信支付,打包带走
1,2023/11/28 7:46,烧卖,咸蛋黄烧卖,3,7.5,微信支付,打包带走
13,2023/11/10 8:25,鲜包,香辣粉丝包,1,2,云闪付,打包带走
13,2023/11/10 8:25,饮品,豆浆,2,5,云闪付,打包带走
13,2023/11/10 8:25,粥,银耳羹,3,9,云闪付,打包带走
12,2023/11/25 11:38,粗粮&小食,粗粮馒头,3,6,云闪付,打包带走
11,2023/11/14 10:32,烧卖,鲜肉烧卖,3,6,微信支付,外卖配送
11,2023/11/14 10:32,烧卖,糯米烧卖,3,4.5,微信支付,外卖配送
4,2023/10/7 11:08,烧卖,糯米烧卖,3,4.5,支付宝支付,外卖配送
4,2023/10/7 11:08,鲜包,梅干菜肉包,3,6,支付宝支付,外卖配送
4,2023/10/7 11:08,饮品,无糖豆浆,1,3,支付宝支付,外卖配送
4,2023/10/29 8:23,鲜包,梅干菜肉包,1,2,微信支付,打包带走
4,2023/10/29 8:23,饮品,红枣豆浆,2,6,微信支付,打包带走
4,2023/10/29 8:23,鲜包,香辣粉丝包,3,6,微信支付,打包带走
2,2023/10/20 6:25,鲜包,豆沙包,2,4,微信支付,打包带走
2,2023/10/20 6:25,粥,银耳羹,1,3,微信支付,打包带走
1,2023/11/12 7:39,鲜包,奶黄包,3,6,支付宝支付,外卖配送
1,2023/11/12 7:39,鲜包,荠菜肉包,2,4,支付宝支付,外卖配送
6,2023/10/13 8:13,粥,玉米汁,1,3,云闪付,外卖配送
6,2023/10/13 8:13,鲜包,荠菜肉包,2,4,云闪付,外卖配送
6,2023/10/13 8:13,烧卖,咸蛋黄烧卖,1,2.5,云闪付,外卖配送
11,2023/11/23 11:59,烧卖,糯米烧卖,1,1.5,支付宝支付,外卖配送
9,2023/10/18 6:50,鲜包,奥尔良鸡肉包,3,6,微信支付,打包带走
6,2023/11/8 6:44,粗粮&小食,红糖馒头,2,3,微信支付,打包带走
6,2023/11/8 6:44,鲜包,香菇菜包,3,6,微信支付,打包带走
6,2023/11/8 6:44,饮品,豆浆,3,7.5,微信支付,打包带走
4,2023/11/21 9:20,烧卖,咸蛋黄烧卖,2,5,微信支付,打包带走
4,2023/11/21 9:20,烧卖,咸蛋黄烧卖,3,7.5,微信支付,打包带走
5,2023/11/7 10:15,粥,银耳羹,3,9,云闪付,打包带走
5,2023/11/7 10:15,烧卖,糯米烧卖,3,4.5,云闪付,打包带走
12,2023/11/5 10:20,烧卖,咸蛋黄烧卖,1,2.5,微信支付,打包带走
4,2023/11/29 7:36,鲜包,奶黄包,2,4,支付宝支付,外卖配送
8,2023/10/13 11:51,粗粮&小食,粗粮馒头,3,6,微信支付,打包带走
8,2023/10/13 11:51,粗粮&小食,粗粮馒头,1,2,微信支付,打包带走
8,2023/10/13 11:51,粥,银耳羹,3,9,微信支付,打包带走
9,2023/10/25 8:16,鲜包,酸豆角包,2,4,支付宝支付,外卖配送
9,2023/10/25 8:16,饮品,无糖豆浆,1,3,支付宝支付,外卖配送
6,2023/10/23 6:30,烧卖,咸蛋黄烧卖,3,7.5,微信支付,打包带走
6,2023/10/23 6:30,粥,玉米汁,1,3,微信支付,打包带走
11,2023/11/13 6:15,烧卖,咸蛋黄烧卖,3,7.5,微信支付,打包带走
11,2023/11/13 6:15,粥,南瓜粥,2,6,微信支付,打包带走
